    187.35     3.0439
    188.74     4.9991
    193.06     9.5645
    195.93     16.011
    215.24     19.751
    252.43     22.146
    297.09     23.008
    343.24     23.008
    386.43     22.146
    425.16     20.131
    460.92     17.281
    498.18     14.554
    535.46     10.931
    569.79     7.4633
    595.19     4.9991
    616.12     3.2853
    637.08     1.9625
    649.07     1.3399
    661.07    0.88054
    671.57    0.61276
    686.57    0.36605
    694.12    0.22717
    712.12    0.12102
