    139.33     1.6957
     142.7     2.5838
    146.07     4.0422
    149.44     7.0255
    156.18     10.429
    159.55     15.076
    173.03      18.62
    189.89     21.254
    226.97     21.857
    270.79     21.899
    307.87     22.519
    351.69     21.976
    395.51     20.347
    429.21     18.831
    456.18     16.969
    479.78      15.29
       500     13.417
    520.22     12.087
    543.82      10.89
    560.67     9.3067
     580.9     8.3843
    601.12       6.98
    614.61      5.964
    628.09     5.2318
    644.94     4.3548
     661.8     3.6249
    678.65     3.0173
    695.51     2.4463
    715.73     1.7855
    732.58     1.3734
    749.44     1.0845
    762.92    0.85634
     776.4    0.64149
    793.26    0.48062
    810.11    0.35073
     823.6    0.24279
    837.08    0.15128
    847.19   0.099337
     857.3   0.050137
    864.04   0.024004
    870.79   0.014564
