291.218	1.066
293.201	1.439
295.184	2.013
297.167	3.13
299.15	4.534
303.116	6.015
307.082	8.871
313.031	11.767
324.929	15.067
346.742	18.297
376.487	20.342
406.232	20.342
435.977	18.955
465.722	16.751
493.484	15.067
521.246	13.315
549.008	11.767
576.771	10.399
602.55	9.029
630.312	7.839
656.091	6.687
681.87	5.705
705.666	4.866
729.462	4.079
751.275	3.359
773.088	2.717
792.918	2.198
808.782	1.717
822.663	1.341
832.578	1.047
840.51	0.803
846.459	0.606
850.425	0.465
856.374	0.35
862.323	0.269
866.289	0.203
870.255	0.155
874.221	0.117
878.187	0.09
884.136	0.068
890.085	0.039
896.034	0.029
900	0.021
