0.225 0.008
0.235 0.031
0.240 0.059
0.248 0.090
0.255 0.124
0.259 0.155
0.263 0.188
0.268 0.219
0.273 0.260
0.283 0.399
0.289 0.601
0.294 0.735
0.300 0.776
0.312 0.814
0.327 0.840
0.342 0.869
0.360 0.894
0.392 0.915
0.437 0.918
0.481 0.923
0.524 0.925
0.574 0.925
0.628 0.928
0.673 0.923
0.733 0.920
0.803 0.920
0.879 0.920
0.968 0.918
1.060 0.918
1.161 0.918
1.285 0.912
1.422 0.912
1.574 0.907
1.742 0.905
1.939 0.902
2.135 0.905
2.325 0.894
2.426 0.866
2.465 0.825
2.491 0.776
2.517 0.727
2.529 0.670
2.556 0.611
2.596 0.539
2.609 0.464
2.622 0.394
2.635 0.345
2.692 0.317
2.825 0.358
2.949 0.389
3.045 0.425
3.112 0.454
3.231 0.477
3.300 0.438
3.352 0.392
3.351 0.343
3.386 0.289
3.403 0.232
3.439 0.175
3.475 0.124
3.531 0.101
3.725 0.108
3.950 0.101
4.144 0.082
4.278 0.057
4.393 0.021
