145.598 0.051
147.043 0.066
151.226 0.086
158.131 0.109
166.387 0.130
178.733 0.150
195.163 0.162
218.446 0.186
236.236 0.196
256.768 0.213
277.287 0.222
300.546 0.234
323.796 0.241
347.042 0.244
363.444 0.240
390.787 0.240
418.131 0.240
435.879 0.221
452.245 0.192
476.821 0.172
493.182 0.148
513.637 0.123
531.349 0.100
549.044 0.077
565.357 0.056
580.310 0.042
589.790 0.031
602.005 0.023
612.840 0.016
622.313 0.012
633.152 0.008
642.600 0.006
653.427 0.004
664.230 0.002
673.669 0.002
684.480 0.001
688.480 0.001
697.923 0.000
704.641 0.000
712.677 0.000
