151.832	0.04
153.663	0.099
155.29	0.179
157.12	0.248
158.747	0.328
160.372	0.438
161.998	0.527
162.808	0.627
164.024	0.746
165.242	0.856
166.46	0.945
167.472	1.075
168.079	1.165
168.889	1.264
169.904	1.344
170.712	1.494
171.722	1.673
172.323	1.872
173.541	1.972
174.348	2.131
174.952	2.271
175.557	2.401
176.162	2.52
176.97	2.66
177.983	2.789
178.587	2.939
179.395	3.078
180	3.208
180.604	3.338
181.414	3.457
182.427	3.567
183.645	3.656
185.476	3.726
187.11	3.646
188.341	3.496
189.368	3.336
190.597	3.207
192.029	3.117
192.649	2.947
193.879	2.807
194.292	2.687
195.319	2.538
196.751	2.438
197.572	2.318
199.609	2.348
200.835	2.278
203.075	2.317
204.089	2.417
205.511	2.506
206.115	2.656
206.925	2.756
207.938	2.875
208.949	3.035
209.758	3.154
211.178	3.284
212.189	3.433
213.201	3.583
214.418	3.682
215.227	3.812
217.266	3.792
218.075	3.911
220.32	3.851
222.156	3.811
223.59	3.681
225.626	3.721
227.669	3.621
229.703	3.69
230.729	3.55
232.767	3.56
233.789	3.5
235.414	3.6
237.856	3.679
239.687	3.739
241.526	3.659
243.767	3.658
245.395	3.708
247.232	3.668
248.458	3.588
250.496	3.598
251.722	3.528
252.949	3.458
254.381	3.358
255.811	3.278
257.038	3.198
258.878	3.088
260.514	2.988
261.742	2.878
262.564	2.748
263.589	2.628
264.615	2.488
266.454	2.389
268.09	2.279
269.118	2.109
270.349	1.959
271.986	1.819
273.217	1.669
275.057	1.549
275.88	1.4
276.704	1.23
278.336	1.2
278.547	1.06
279.777	0.91
281.822	0.77
283.459	0.641
285.3	0.521
287.14	0.391
288.979	0.311
290.812	0.32
292.856	0.22
295.509	0.14
298.569	0.08
