210.246 0.003
211.001 0.034
214.681 0.063
218.374 0.111
221.347 0.174
224.309 0.223
225.814 0.280
227.312 0.327
229.530 0.358
234.642 0.345
239.052 0.371
242.696 0.351
244.874 0.328
247.785 0.306
249.231 0.283
252.143 0.262
254.324 0.242
258.701 0.224
266.760 0.239
269.721 0.286
271.211 0.322
271.975 0.366
274.936 0.413
277.163 0.457
280.126 0.505
282.357 0.554
283.846 0.590
286.064 0.621
289.008 0.644
293.388 0.631
297.759 0.605
299.933 0.575
301.376 0.548
303.551 0.520
305.726 0.492
307.902 0.466
310.805 0.434
312.978 0.403
315.877 0.366
318.050 0.335
322.420 0.307
325.324 0.276
328.960 0.245
332.601 0.221
337.706 0.198
342.805 0.167
350.833 0.138
357.400 0.113
371.298 0.107
380.811 0.108
388.851 0.097
401.292 0.099
410.064 0.087
418.828 0.064
430.533 0.061
438.572 0.048
450.276 0.043
459.779 0.032
471.485 0.030
480.992 0.022
491.234 0.020
499.272 0.006
509.521 0.012
518.296 0.004
528.543 0.009
537.335 0.025
544.661 0.036
549.046 0.030
557.106 0.045
563.703 0.061
568.838 0.079
576.163 0.090
584.953 0.103
590.823 0.124
596.688 0.140
601.824 0.160
612.072 0.165
621.589 0.171
630.373 0.176
638.408 0.158
647.929 0.170
653.778 0.163
660.351 0.147
667.678 0.160
674.254 0.147
682.288 0.127
685.195 0.099
688.837 0.077
698.339 0.064
703.445 0.041
708.546 0.013
712.953 0.036
715.164 0.057
718.111 0.085
726.883 0.073
731.993 0.057
736.356 0.020
744.395 0.007
755.371 0.007
769.285 0.023
782.472 0.046
789.772 0.021
796.344 0.003
