       230     4.6789
    242.22     9.4669
    248.89     19.217
    254.44     33.887
    264.44     38.697
    278.89     33.647
    293.33     28.597
    305.56     23.569
    315.56     13.655
    334.44     8.5617
    375.56    -11.474
    434.44    -12.052
    454.44     2.4758
       470     7.2311
    482.22     16.927
    498.89     26.579
    512.22     26.449
    524.44     36.145
    535.56     40.943
    547.78     50.639
    555.56     70.195
    564.44      89.74
       570     104.41
    574.44        124
    578.89     138.68
    586.67     163.14
    592.22     187.63
    598.89     202.28
    604.44     212.05
       610     226.72
    614.44      241.4
    622.22      226.6
    632.22     216.68
    637.78      201.9
    646.67     182.18
    654.44     162.48
    663.33     142.76
    671.11     123.05
    677.78     108.26
    685.56     88.551
    688.89     78.702
    693.33      103.2
    697.78     122.79
       700     83.501
    702.22     58.939
       710     49.047
    717.78     39.155
    726.67     29.252
    733.33      19.37
    735.56     43.888
    737.78     68.406
    741.11     34.018
    744.44     19.261
    746.67     132.12
    747.78     367.69
    748.89     760.32
    752.22     446.18
    753.33     289.11
    754.44     63.335
    758.89     19.119
    761.11     166.34
    763.33     603.12
    765.56     313.53
    767.78     33.756
    772.22     112.24
    776.67     9.1288
    787.78     4.1118
    791.11     28.619
    794.44     87.482
    797.78     48.185
    798.89     165.97
    801.11     215.02
    802.22     111.95
    805.56     8.8453
    808.89     67.708
       810     141.32
    812.22     347.43
    814.44     224.71
    815.56     106.91
    817.78     8.7253
    825.56     33.189
    827.78     92.063
    833.33     8.5726
    837.78     57.609
    838.89     145.94
    842.22     366.77
    843.33     190.07
    844.44     33.003
    848.89     13.328
    852.22     42.743
    858.89     8.3217
