    401.13  0.0033093
    412.75 -0.00030657
     425.6   0.005567
    438.51   0.000758
    451.37  0.0054446
    465.54  0.0053773
    481.01  0.0053039
    491.29   0.010003
    504.15   0.013502
    513.14   0.018207
    520.86   0.020544
     528.5   0.033564
    537.46   0.044204
     545.1   0.057223
    548.86   0.075009
     556.5   0.088029
     565.4    0.10698
    572.99    0.12949
    579.29    0.15201
    584.27     0.1781
     590.6    0.19588
     598.2    0.21602
    607.16    0.22666
    616.13    0.23374
    628.99    0.23842
     635.5    0.22771
    642.02    0.21581
    649.82    0.20509
    658.96    0.18606
    664.23    0.16823
    670.75    0.15633
    678.58    0.14086
    683.81    0.12897
    687.58    0.14438
     693.9    0.16334
    697.86    0.14908
    703.12    0.13244
    707.12    0.11224
     711.1   0.093229
    716.38   0.074214
    725.36   0.080106
    731.87    0.07058
    738.23   0.083605
    740.57    0.12039
    742.86    0.16429
    745.22     0.1987
    745.06    0.22244
    750.09    0.24259
    753.79    0.26869
    754.93    0.29123
    757.35    0.31615
    761.09    0.33512
    765.11    0.31136
    767.83     0.2888
    769.29    0.26268
    773.36    0.23062
    774.88      0.195
    777.66    0.16413
    780.49    0.12376
    784.57   0.091694
    788.54   0.075058
    792.23    0.10234
    797.23    0.12605
    800.95    0.14859
    804.66     0.1735
    808.42    0.18891
    812.48    0.15921
    820.17    0.16511
    825.43    0.14966
    829.48    0.12115
    834.51    0.14012
    838.25    0.16028
    842.28    0.13415
    848.88    0.11038
    855.46   0.088983
    855.65    0.05931
    860.96    0.03436
    867.54   0.012964
    879.23 -0.0001475
