152.048	0.025
152.646	0.137
153.655	0.249
154.25	0.386
154.639	0.523
155.226	0.709
157.89	0.734
158.488	0.846
160.126	0.871
161.129	1.02
162.375	0.921
163.783	1.108
165.609	1.245
167.026	1.369
168.861	1.444
169.878	1.506
171.274	1.767
172.687	1.917
174.724	2.017
176.13	2.216
177.533	2.427
178.529	2.626
179.726	2.85
181.129	3.061
182.157	3.049
183.166	3.161
185.203	3.26
187.04	3.323
188.089	3.174
189.142	3
189.943	3.125
191.362	3.237
192.814	3.138
193.817	3.287
195.466	3.237
197.127	3.113
197.51	3.287
198.306	3.449
200.56	3.474
202.178	3.624
202.761	3.835
204.173	3.997
205.579	4.196
207.402	4.345
208.183	4.606
209.18	4.792
211.24	4.743
213.098	4.669
214.51	4.831
216.37	4.744
218.431	4.682
220.723	4.459
223.202	4.348
226.301	4.211
228.376	4.063
230.656	3.914
231.72	3.666
233.164	3.616
234.781	3.778
235.22	3.592
237.078	3.518
239.151	3.381
241.217	3.295
242.877	3.171
244.54	3.034
245.953	3.184
247.631	2.948
249.102	2.724
249.75	2.513
250.799	2.365
252.456	2.265
253.714	2.092
255.57	2.03
257.041	1.807
258.678	1.832
259.94	1.633
262.015	1.484
263.691	1.261
264.749	1.05
266.828	0.876
269.925	0.753
272.41	0.604
274.067	0.505
276.344	0.381
280.052	0.282
282.739	0.159
286.03	0.109
289.93	0.098
294.448	0.074
